id,parent_id,text,standard,assurance_standard,dal,lifecycle_objectives,source_section,owner
DEMO-HL-001,,"The ground support equipment shall preserve personnel safety, flight hardware safety, and range safety during receipt, checkout, fueling simulation, pressurization, transport, and launch-pad integration.",Program Safety Basis,AFSPCMAN 91-710 Vol 3,B,"SYS-1;SYS-2","PSB-001 Sec 3.1",Systems Safety
DEMO-RS-010,DEMO-HL-001,"The project shall identify range-safety hazardous operations and maintain approved controls for pad access, inhibited energy, ordnance exclusion, lifting, pressure, and emergency response.",AFSPCMAN 91-710 Vol 3,AFSPCMAN 91-710 Vol 3,B,"RS-1;RS-2","Vol 3 Sec 2",Range Safety
DEMO-RS-011,DEMO-RS-010,"The verification package shall include a launch-site operations hazard analysis with closure evidence for each credible catastrophic or critical hazard.",AFSPCMAN 91-710 Vol 3,AFSPCMAN 91-710 Vol 3,B,"RS-3","Vol 3 Sec 4",Systems Safety
DEMO-STR-020,DEMO-HL-001,"Metallic structures and welded support frames shall be designed, analyzed, fabricated, and inspected for qualification and acceptance loads with positive margins.",NASA-STD-5005,NASA-STD-5005,B,"STR-1;STR-2","Sec 4",Structures
DEMO-STR-021,DEMO-STR-020,"Fracture-critical metallic parts shall have documented material traceability, inspection class, flaw-screening method, and life assessment before operational use.",NASA-STD-5009,NASA-STD-5009,B,"STR-3","Sec 7",Structures
DEMO-STR-022,DEMO-STR-020,"Human-rated structural items shall retain qualification evidence that supports design factors, proof testing, and configuration-controlled acceptance criteria.",NASA-STD-5008,NASA-STD-5008,B,"STR-4","Sec 5",Mission Assurance
DEMO-ELEC-030,DEMO-HL-001,"Electrical power distribution shall comply with facility electrical code requirements for overcurrent protection, disconnects, grounding, labeling, and safe maintenance access.",NFPA 70,NFPA 70,C,"ELEC-1;ELEC-2","Article 110/240",Electrical
DEMO-ELEC-031,DEMO-ELEC-030,"Bonding, grounding, and lightning protection design shall control hazardous touch potential and electromagnetic compatibility at external interfaces.",NASA-STD-4003,NASA-STD-4003,C,"ELEC-3","Sec 5",Electrical
DEMO-WIRE-040,DEMO-ELEC-030,"Flight-hardware-facing cable assemblies shall use qualified wire, crimping, soldering, strain relief, marking, and workmanship controls.",NASA-STD-8739.4,NASA-STD-8739.4,C,"WIRE-1;WIRE-2","Sec 8",Electrical
DEMO-WIRE-041,DEMO-WIRE-040,"Wire and cable selected for the verification article shall meet the applicable conductor, insulation, voltage, and temperature rating defined by the procurement specification.",MIL-DTL-16878,MIL-DTL-16878,C,"WIRE-3","Sec 3",Electrical
DEMO-MAT-050,DEMO-HL-001,"Materials exposed to ignition sources, oxygen-enriched environments, or crew-accessible volumes shall be screened for flammability, odor, offgassing, and compatibility hazards.",NASA-STD-6001B,NASA-STD-6001B,B,"MAT-1;MAT-2","Sec 4",Materials
DEMO-OXY-060,DEMO-MAT-050,"Oxygen-system components, lubricants, seals, cleaning agents, and assembly processes shall be compatible with the maximum oxygen concentration and pressure used by the project.",ISO 14952,ISO 14952,B,"OXY-1;OXY-2","Part 1",Propulsion GSE
DEMO-PRES-070,DEMO-HL-001,"Pressure vessels shall be designed, fabricated, inspected, tested, stamped or certified, and documented to the applicable pressure-vessel code basis.",ASME BPVC,ASME BPVC,B,"PRES-1","Section VIII",Pressure Systems
DEMO-PRES-071,DEMO-PRES-070,"Process piping shall be designed, analyzed, fabricated, inspected, pressure tested, and leak checked to the applicable chemical-process piping code basis.",ASME B31.3,ASME B31.3,B,"PRES-2;PRES-3","Ch 6",Pressure Systems
DEMO-PRES-072,DEMO-PRES-070,"Flexible hoses and pressure accessories shall have shelf-life, cleanliness, proof-pressure, and periodic inspection evidence before connection to flight hardware.",KSC-GP-864 Volume IIA,KSC-GP-864 Volume IIA,B,"PRES-4","Vol IIA Sec 9",Pressure Systems
DEMO-GSE-080,DEMO-HL-001,"Ground support equipment shall satisfy the assigned NASA ground-equipment design and release requirements for lifting, handling, access, emergency stop, labeling, and maintainability.",GSED-2148,GSED-2148,C,"GSE-1;GSE-2","Sec 4",GSE
DEMO-GSE-081,DEMO-GSE-080,"Electrical ground support equipment shall have configuration-controlled schematics, interlock logic, failure modes, and acceptance-test records.",GSED-2184,GSED-2184,C,"GSE-3","Sec 5",GSE
DEMO-GSE-082,DEMO-GSE-080,"Mechanical ground support equipment shall have released drawings, load test evidence, inspection points, and safe operating limits.",GSED-2185,GSED-2185,C,"GSE-4","Sec 5",GSE
DEMO-GSE-083,DEMO-GSE-080,"Software or programmable logic used by ground support equipment shall have controlled requirements, version identification, validation evidence, and rollback instructions.",GSED-2190,GSED-2190,C,"GSE-5","Sec 6",GSE
DEMO-NDE-090,DEMO-STR-020,"Personnel performing nondestructive examination shall be qualified and certified for the method, level, and product form being inspected.",AIA/NAS 410,AIA/NAS 410,C,"NDE-1","Sec 6",Quality
DEMO-FAST-100,DEMO-HL-001,"Fasteners, springs, and other fracture-sensitive metallic hardware shall be processed using controlled cleaning, shot peening, passivation, or plating limits when required by material class.",SAE AMS 2759/9,SAE AMS 2759/9,C,"PROC-1","Sec 3",Materials
DEMO-HEAT-101,DEMO-FAST-100,"Heat treatment of aluminum and steel parts shall be performed with controlled furnace class, load instrumentation, quench timing, and material certification records.",SAE AMS 2175,SAE AMS 2175,C,"PROC-2","Sec 5",Materials
DEMO-CORR-110,DEMO-HL-001,"Carbon steel exterior hardware requiring corrosion protection shall receive coating or galvanizing with documented coating thickness and adhesion acceptance.",ASTM A123,ASTM A123,D,"CORR-1","Sec 6",Materials
DEMO-CORR-111,DEMO-CORR-110,"Sheet metal and formed panels shall use a zinc-coated steel product meeting the specified grade, coating designation, and mechanical-property certification.",ASTM A653,ASTM A653,D,"CORR-2","Sec 5",Materials
DEMO-CORR-112,DEMO-CORR-110,"Cadmium plating shall be prohibited for crew-accessible or oxygen-system hardware unless an approved waiver identifies controls for toxicity and compatibility.",SAE AMS 2404,SAE AMS 2404,B,"CORR-3","Sec 3",Materials
DEMO-PACK-120,DEMO-HL-001,"Packaged critical parts and contamination-sensitive assemblies shall use preservation, handling, and transportation controls that prevent damage, corrosion, moisture intrusion, and foreign object debris.",ASTM D4174,ASTM D4174,C,"PACK-1;PACK-2","Sec 8",Logistics
