requirement_id,parent_ids,child_ids,applicability,verification_method,procedure_reference,execution_artifacts,success_criteria,assurance_standard,dal,lifecycle_objectives,rationale,change_log
DEMO-HL-001,,"DEMO-RS-010;DEMO-STR-020;DEMO-ELEC-030;DEMO-MAT-050;DEMO-PRES-070;DEMO-GSE-080;DEMO-FAST-100;DEMO-CORR-110;DEMO-PACK-120;DEMO-PYRO-130;DEMO-MSFC-140",applicable,analysis,"ATGSD-VP-001 Rev C Sec 1","EV-RS-010;EV-STR-020;EV-ELEC-030;EV-PRES-070","All child safety and mission-assurance verification records shall be released or dispositioned before simulated pad operations.",AFSPCMAN 91-710 Vol 3,B,"SYS-1;SYS-2","Top-level safety and mission assurance basis applies to the fake GSE demonstrator.","2026-05-01T14:00:00Z jsmith verification_lead: initialized demo top-level RVM basis."
DEMO-RS-010,DEMO-HL-001,DEMO-RS-011,applicable,inspection,"ATP-RS-010 Rev B Sec 4.1","EV-RS-010 sha256:0f6f7d2737d4ebca8d4e481ba7b49b9b0c2a0a9157a0bc97b9a57ef559102010","Hazard controls for pad access, inhibited energy, lifting, pressure, and emergency response shall be marked closed or accepted by waiver.",AFSPCMAN 91-710 Vol 3,B,"RS-1;RS-2","Pad operations, lifting, pressure, access control, and emergency response are in project scope.","2026-05-02T15:30:00Z mlee safety: tailored flight termination controls out of scope per ATGSD-WVR-002."
DEMO-RS-011,DEMO-RS-010,HAZ-001,applicable,inspection,"ATP-RS-010 Rev B Sec 4.2","EV-RS-010 sha256:0f6f7d2737d4ebca8d4e481ba7b49b9b0c2a0a9157a0bc97b9a57ef559102010","Each catastrophic or critical hazard in ATGSD-HAZ-001 shall have closure evidence before simulated pad operations.",AFSPCMAN 91-710 Vol 3,B,RS-3,"Hazard analysis ATGSD-HAZ-001 requires closure evidence before simulated pad operations.","2026-05-02T15:35:00Z mlee safety: linked HAZ-001 closure evidence."
DEMO-STR-020,DEMO-HL-001,"DEMO-STR-021;DEMO-STR-022",applicable,analysis,"ATP-STR-020 Rev C Sec 5.1","EV-STR-020 sha256:f62097d337b59d42e6cd61f59d438ef43a7cb777c0036dcf9c23e6942a7fbd92","Calculated margins shall be positive for qualification and acceptance load cases, and released drawings shall match analyzed configuration.",NASA-STD-5005,B,"STR-1;STR-2","Welded carbon-steel support frame and lift hardware require structural analysis and record review.","2026-05-03T13:20:00Z apatel structures: added proof-load configuration check."
DEMO-STR-021,DEMO-STR-020,WELD-NDE-REC,applicable,inspection,"ATP-STR-020 Rev C Sec 5.3","EV-STR-021 sha256:6e33ff0d2a8b8dcf6af534a50d00de8c9b73bd3e4f8d8630e07758ec7c2a1a65","All fracture-critical metallic records shall include material heat trace, inspection method, acceptance class, inspector ID, and disposition.",NASA-STD-5009,B,STR-3,"Fracture-sensitive welded and lifted metallic components require traceability and NDE evidence.","2026-05-03T13:45:00Z apatel structures: linked weld/NDE record set."
DEMO-STR-022,DEMO-STR-020,ATGSD-WVR-004,conditional,analysis,"ATP-STR-020 Rev C Sec 5.4","EV-STR-020 sha256:f62097d337b59d42e6cd61f59d438ef43a7cb777c0036dcf9c23e6942a7fbd92","Operator-adjacent lift fixtures shall satisfy proof-test and design-factor criteria; non-load-path panels shall be dispositioned by tailoring record.",NASA-STD-5008,B,STR-4,"Human-rated structural provisions are tailored to operator-adjacent lifting fixtures.","2026-05-03T14:10:00Z apatel structures: set conditional pending WVR-004 closure."
DEMO-ELEC-030,DEMO-HL-001,"DEMO-ELEC-031;DEMO-WIRE-040",applicable,inspection,"ATP-ELEC-030 Rev A Sec 3.1","EV-ELEC-030 sha256:61b74dcd0d2504df3f570918f8620bc3bc20f3f91d79da5f66cb5ecf368184b0","Disconnects, overcurrent devices, labels, lockout points, and maintenance clearances shall match released drawing ATGSD-DWG-2200.",NFPA 70,C,"ELEC-1;ELEC-2","Facility-powered electrical cabinet uses disconnects, overcurrent protection, labels, and access controls.","2026-05-04T10:00:00Z rchen electrical: linked cabinet inspection."
DEMO-ELEC-031,DEMO-ELEC-030,BOND-POINTS,applicable,test,"ATP-ELEC-030 Rev A Sec 4.2","EV-ELEC-030 sha256:61b74dcd0d2504df3f570918f8620bc3bc20f3f91d79da5f66cb5ecf368184b0","Bonding resistance from each tested item to the equipment grounding bar shall be less than or equal to 2.5 milliohms.",NASA-STD-4003,C,ELEC-3,"Bonding resistance checks verify grounding and hazardous touch-potential controls.","2026-05-04T10:20:00Z rchen electrical: converted method to test based on measured resistance criterion."
DEMO-WIRE-040,DEMO-ELEC-030,DEMO-WIRE-041,applicable,inspection,"ATP-WIRE-040 Rev B Sec 6.1","EV-WIRE-040 sha256:c6aeebdb55c9d2bc2ea437d1d78dbb1f74f112dc0b7b5b72078f808467980b25","Harness inspection shall show accepted crimp, solder, strain relief, marking, and routing records for H-100 through H-140.",NASA-STD-8739.4,C,"WIRE-1;WIRE-2","Flight-hardware-facing harness workmanship is explicitly in scope.","2026-05-04T11:10:00Z rchen electrical: linked harness acceptance log."
DEMO-WIRE-041,DEMO-WIRE-040,HARNESS-BOM,applicable,inspection,"ATP-WIRE-040 Rev B Sec 6.2","EV-WIRE-040 sha256:c6aeebdb55c9d2bc2ea437d1d78dbb1f74f112dc0b7b5b72078f808467980b25","Wire BOM shall identify MIL-DTL-16878 slash sheet, conductor size, insulation type, voltage rating, and temperature rating for each harness segment.",MIL-DTL-16878,C,WIRE-3,"Harness wire is procured to MIL-DTL-16878 slash-sheet requirements.","2026-05-04T11:20:00Z rchen electrical: added BOM objective criterion."
